Intent,Cümle
Greeting,"Merhaba, nasıl yardımcı olabilirim?"
Greeting,Selam! Size ne konuda yardımcı olabilirim?
Greeting,Günaydın! Sorunuz var mı?
Greeting,İyi günler! Ne hakkında bilgi istiyorsunuz?
Greeting,Hoş geldiniz! Size nasıl yardımcı olayım?
Greeting,Selamünaleyküm! Nasıl yardımcı olabilirim?
Greeting,Merhaba! Bugün ne hakkında konuşmak istersiniz?
Goodbye,"Görüşmek üzere, iyi günler."
Goodbye,Hoşça kalın!
Goodbye,İyi günler dilerim.
Goodbye,Seneye görüşmek üzere!
Goodbye,"Hoşça kalın, tekrar bekleriz."
Goodbye,"Teşekkürler, kendinize iyi bakın."
Goodbye,"Alışveriş için teşekkürler, iyi günler."
Fallback,"Üzgünüm, bunu anlayamadım."
Fallback,Tekrar eder misiniz lütfen?
Fallback,"Bunu anlayamadım, başka bir şekilde sorar mısınız?"
Fallback,Maalesef bu soruya cevap veremiyorum.
Fallback,"Üzgünüm, ne demek istediğinizi çözemedim."
Fallback,Lütfen soruyu yeniden formüle eder misiniz?
Fallback,"Anlayamadım, farklı bir ifade kullanabilir misiniz?"
AddToCart,Sepete 1 adet kırmızı elbise ekle lütfen
AddToCart,Sepete 2 adet kırmızı elbise ekle lütfen
AddToCart,Sepete 3 adet kırmızı elbise ekle lütfen
AddToCart,Sepete 4 adet kırmızı elbise ekle lütfen
AddToCart,Sepete 5 adet kırmızı elbise ekle lütfen
AddToCart,Sepete 6 adet kırmızı elbise ekle lütfen
AddToCart,Sepete 7 adet kırmızı elbise ekle lütfen
AddToCart,Sepete 8 adet kırmızı elbise ekle lütfen
AddToCart,Sepete 1 adet mavi tişört ekle lütfen
AddToCart,Sepete 2 adet mavi tişört ekle lütfen
AddToCart,Sepete 3 adet mavi tişört ekle lütfen
AddToCart,Sepete 4 adet mavi tişört ekle lütfen
AddToCart,Sepete 5 adet mavi tişört ekle lütfen
AddToCart,Sepete 6 adet mavi tişört ekle lütfen
AddToCart,Sepete 7 adet mavi tişört ekle lütfen
AddToCart,Sepete 8 adet mavi tişört ekle lütfen
AddToCart,Sepete 1 adet siyah pantolon ekle lütfen
AddToCart,Sepete 2 adet siyah pantolon ekle lütfen
AddToCart,Sepete 3 adet siyah pantolon ekle lütfen
AddToCart,Sepete 4 adet siyah pantolon ekle lütfen
AddToCart,Sepete 5 adet siyah pantolon ekle lütfen
AddToCart,Sepete 6 adet siyah pantolon ekle lütfen
AddToCart,Sepete 7 adet siyah pantolon ekle lütfen
AddToCart,Sepete 8 adet siyah pantolon ekle lütfen
AddToCart,Sepete 1 adet beyaz gömlek ekle lütfen
AddToCart,Sepete 2 adet beyaz gömlek ekle lütfen
AddToCart,Sepete 3 adet beyaz gömlek ekle lütfen
AddToCart,Sepete 4 adet beyaz gömlek ekle lütfen
AddToCart,Sepete 5 adet beyaz gömlek ekle lütfen
AddToCart,Sepete 6 adet beyaz gömlek ekle lütfen
AddToCart,Sepete 7 adet beyaz gömlek ekle lütfen
AddToCart,Sepete 8 adet beyaz gömlek ekle lütfen
AddToCart,Sepete 1 adet yeşil mont ekle lütfen
AddToCart,Sepete 2 adet yeşil mont ekle lütfen
AddToCart,Sepete 3 adet yeşil mont ekle lütfen
AddToCart,Sepete 4 adet yeşil mont ekle lütfen
AddToCart,Sepete 5 adet yeşil mont ekle lütfen
AddToCart,Sepete 6 adet yeşil mont ekle lütfen
AddToCart,Sepete 7 adet yeşil mont ekle lütfen
AddToCart,Sepete 8 adet yeşil mont ekle lütfen
AddToCart,Sepete 1 adet kot şort ekle lütfen
AddToCart,Sepete 2 adet kot şort ekle lütfen
AddToCart,Sepete 3 adet kot şort ekle lütfen
AddToCart,Sepete 4 adet kot şort ekle lütfen
AddToCart,Sepete 5 adet kot şort ekle lütfen
AddToCart,Sepete 6 adet kot şort ekle lütfen
AddToCart,Sepete 7 adet kot şort ekle lütfen
AddToCart,Sepete 8 adet kot şort ekle lütfen
AddToCart,Sepete 1 adet sarı etek ekle lütfen
AddToCart,Sepete 2 adet sarı etek ekle lütfen
AddToCart,Sepete 3 adet sarı etek ekle lütfen
AddToCart,Sepete 4 adet sarı etek ekle lütfen
AddToCart,Sepete 5 adet sarı etek ekle lütfen
AddToCart,Sepete 6 adet sarı etek ekle lütfen
AddToCart,Sepete 7 adet sarı etek ekle lütfen
AddToCart,Sepete 8 adet sarı etek ekle lütfen
AddToCart,Sepete 1 adet kahverengi ceket ekle lütfen
AddToCart,Sepete 2 adet kahverengi ceket ekle lütfen
AddToCart,Sepete 3 adet kahverengi ceket ekle lütfen
AddToCart,Sepete 4 adet kahverengi ceket ekle lütfen
AddToCart,Sepete 5 adet kahverengi ceket ekle lütfen
AddToCart,Sepete 6 adet kahverengi ceket ekle lütfen
AddToCart,Sepete 7 adet kahverengi ceket ekle lütfen
AddToCart,Sepete 8 adet kahverengi ceket ekle lütfen
AddToCart,Sepete 1 adet bej kazak ekle lütfen
AddToCart,Sepete 2 adet bej kazak ekle lütfen
AddToCart,Sepete 3 adet bej kazak ekle lütfen
AddToCart,Sepete 4 adet bej kazak ekle lütfen
AddToCart,Sepete 5 adet bej kazak ekle lütfen
AddToCart,Sepete 6 adet bej kazak ekle lütfen
AddToCart,Sepete 7 adet bej kazak ekle lütfen
AddToCart,Sepete 8 adet bej kazak ekle lütfen
AddToCart,Sepete 1 adet desenli eşofman ekle lütfen
AddToCart,Sepete 2 adet desenli eşofman ekle lütfen
AddToCart,Sepete 3 adet desenli eşofman ekle lütfen
AddToCart,Sepete 4 adet desenli eşofman ekle lütfen
AddToCart,Sepete 5 adet desenli eşofman ekle lütfen
AddToCart,Sepete 6 adet desenli eşofman ekle lütfen
AddToCart,Sepete 7 adet desenli eşofman ekle lütfen
AddToCart,Sepete 8 adet desenli eşofman ekle lütfen
AddToCart,Sepete 1 adet pembe bluz ekle lütfen
AddToCart,Sepete 2 adet pembe bluz ekle lütfen
AddToCart,Sepete 3 adet pembe bluz ekle lütfen
AddToCart,Sepete 4 adet pembe bluz ekle lütfen
AddToCart,Sepete 5 adet pembe bluz ekle lütfen
AddToCart,Sepete 6 adet pembe bluz ekle lütfen
AddToCart,Sepete 7 adet pembe bluz ekle lütfen
AddToCart,Sepete 8 adet pembe bluz ekle lütfen
AddToCart,Sepete 1 adet gri kazak ekle lütfen
AddToCart,Sepete 2 adet gri kazak ekle lütfen
AddToCart,Sepete 3 adet gri kazak ekle lütfen
AddToCart,Sepete 4 adet gri kazak ekle lütfen
AddToCart,Sepete 5 adet gri kazak ekle lütfen
AddToCart,Sepete 6 adet gri kazak ekle lütfen
